symbol
# --- Banks ---
HDFCBANK.NS
ICICIBANK.NS
SBIN.NS
AXISBANK.NS
KOTAKBANK.NS
INDUSINDBK.NS

# --- NBFC / Finance ---
BAJFINANCE.NS
BAJAJFINSV.NS
CHOLAFIN.NS
MUTHOOTFIN.NS
SHRIRAMFIN.NS
LICHSGFIN.NS

# --- Insurance ---
SBILIFE.NS
HDFCLIFE.NS
ICICIPRULI.NS

# --- AMC / Asset ---
HDFCAMC.NS
NIPPONAMC.NS

# --- Exchanges ---
BSE.NS
MCX.NS

# --- PSU / Govt ---
IRCTC.NS
NBCC.NS
RAILTEL.NS
NHPC.NS
NTPC.NS
ONGC.NS
GAIL.NS
COALINDIA.NS
SAIL.NS
BEL.NS
HAL.NS
IOC.NS
BPCL.NS
HPCL.NS
POWERGRID.NS

# --- Others (optional remove if needed later) ---
# (keep adding gradually from removed_symbols.csv)
