sno,name,cmprs,p/e,market_cap,div_yldpct,np_qtrrscr,qtr_profit_varpct,sales_qtrrscr,qtr_sales_varpct,rocepct,profit_var_5yrspct,sales_var_3yrspct,profit_var_3yrspct,sales_growth_3y,profit_growth_3y,roce,sales,symbol,debt,promoter_holding,price_1y,price_3y,dma20,dma200,volume_trend,growth_flag,consolidation_flag,volume_flag,sector,sector_strength,ai_reason,ai_score,fundamental_score,growth_score,consolidation_score,volume_score,final_score,rank
81,Jupiter Wagons,262.6,46.52,11222.75,0.38,58.33,-40.39,775.93,-22.41,21.49,124.77,48.65,95.14,48.65,95.14,21.49,775.93,JWL.NS,0.0,50.0,-0.2761688041027517,1.822334211699543,266.74000396728513,320.92924964904785,0.9709512273059206,True,True,False,Unknown,neutral,undervalued_growth,1.0,0.10903083700440523,0.6374318086445657,0.8437240051536181,0.5739446006430658,0.49723795762570544,13
47,Elecon Engg.Co,389.85,21.15,8748.23,0.51,71.99,-33.06,551.74,4.32,28.46,35.57,22.48,42.06,22.48,42.06,28.46,551.74,ELECON.NS,0.0,50.0,-0.15108456639611656,1.0624538677077164,394.03749694824216,522.3161575317383,1.4829721431094425,True,True,True,Unknown,neutral,undervalued_growth,1.0,0.2369676945668135,0.2217268149391524,0.7814241682034727,0.8766082481850223,0.48307809927375267,14
58,Godfrey Phillips,1991.5,23.93,31063.77,1.59,343.29,8.2,1828.61,15.09,26.32,23.93,27.81,36.06,27.81,36.06,26.32,1828.61,GODFRYPHLP.NS,0.0,50.0,-0.0786187862822808,2.3441734364973614,2019.044989013672,2796.5876849365236,1.6054315624970146,True,True,True,Unknown,neutral,undervalued_growth,1.0,0.1976872246696035,0.2182123373898448,0.7453316407329424,0.9489959444758029,0.46668327993997916,15
36,Authum Invest,492.2,11.48,41798.88,0.04,168.02,-69.18,446.21,-27.76,30.85,208.59,71.39,85.2,71.39,85.2,30.85,446.21,AIIL.NS,0.0,50.0,0.5276063884036024,1.634716683461182,469.0800033569336,558.1219515991211,1.2431481702053184,True,False,True,Unknown,neutral,neutral,0.5,0.28083700440528636,0.7045740663029795,0.4433932811885362,0.734844511261785,0.46541272238659626,16
38,Persistent Systems,4716.7,41.37,74405.94,0.74,439.45,35.75,3778.21,23.38,30.44,32.77,27.87,27.0,27.87,27.0,30.44,3778.21,PERSISTENT.NS,0.0,50.0,-0.0653800587886848,1.28956443290854,4734.059985351562,5652.883598632812,1.2478790532149044,True,True,True,Unknown,neutral,undervalued_growth,1.0,0.27331130690161526,0.17100293747377263,0.7387379197381932,0.7376410109038524,0.46503679529342445,17
30,KFin Technolog.,914.55,44.65,15778.19,0.82,91.99,8.39,370.87,27.88,32.75,134.47,19.48,28.93,19.48,28.93,32.75,370.87,KFINTECH.NS,0.0,50.0,-0.16427375493811625,2.327165536266927,920.3524963378907,1089.957313232422,0.8974558299351506,True,True,False,Unknown,neutral,undervalued_growth,1.0,0.31571218795888395,0.13711707931179185,0.7879932156768915,0.5305003108509695,0.46435696526638714,18
90,Poly Medicure,1240.9,35.67,12577.7,0.28,70.81,-10.98,493.66,16.37,20.08,28.38,21.85,33.39,21.85,33.39,20.08,493.66,POLYMED.NS,0.0,50.0,-0.46839510802200157,0.2758209149859261,1284.5999938964844,1828.6360107421874,1.1572825240424582,True,True,False,Unknown,neutral,undervalued_growth,1.0,0.08314977973568277,0.17294376835921108,0.9394648243908539,0.6840879720969458,0.4241504276539807,19
78,Maruti Suzuki,12601.0,26.53,396178.68,1.07,3879.1,4.08,49904.1,28.74,21.7,34.67,20.07,72.31,20.07,72.31,21.7,49904.1,MARUTI.NS,0.0,50.0,0.0673574214081527,0.5414108322735858,13378.0,14726.04728515625,1.158636068743164,True,True,False,Auto,improving,undervalued_growth,1.0,0.11288546255506604,0.3677612253462023,0.6726262854903117,0.6848880737404184,0.421720494563371,20
71,Vesuvius India,478.35,36.76,9708.63,0.31,80.23,33.87,550.77,8.28,22.91,37.86,16.16,31.25,16.16,31.25,22.91,550.77,VESUVIUS.NS,0.0,50.0,0.00977868250192615,1.9145096546879405,488.2625,504.8494996643066,1.6461844234138765,True,True,True,Unknown,neutral,undervalued_growth,1.0,0.13509544787077823,0.13187159043222826,0.7013041278101888,0.9730856040036973,0.41798188319716445,21
61,Caplin Point Lab,1604.1,19.87,12193.04,0.37,165.86,17.93,542.77,10.1,25.85,20.48,15.14,21.48,15.14,21.48,25.85,542.77,CAPLIPOINT.NS,0.0,50.0,-0.21798571004857692,1.6622714680400645,1645.5349975585937,1951.9735339355468,1.0539446754112693,True,True,False,Unknown,neutral,undervalued_growth,1.0,0.18906020558002937,0.07527276542173733,0.8147451558654173,0.623003338187467,0.41592800030818944,22
